FTSE Sector Classifications
Aerospace & Defence
Asset Managers
Automobiles & Parts
Banks
Beverages
Chemicals
Construction & Materials
Consumer Services
Electricity
Electronic & Electrical Equipment
Equity Investment Instruments
Financial Services
Fixed Line Telecommunications
Food & Drug Retailers
Food Producers
Forestry & Paper
"Gas, Water & Multi-utilities"
General Industrials
General Retailers
Health Care Equipment & Services
Household Goods & Home Construction
Industrial Engineering
Industrial Metals & Mining
Life Insurance
Media
Mining
Mobile Telecommunications
Nonlife Insurance
Oil & Gas Producers
Personal Goods
Pharmaceuticals & Biotechnology
Precious Metals and Mining
Real Estate Investment Trusts
Retail hospitality
Software & Computer Services
Support Services
Tobacco
Travel & Leisure
